 ,Value
1,2.096
2,2.068
3,2.024
4,1.968
5,1.939
6,1.978
7,2.084
8,2.211
9,2.314
10,2.371
11,2.377
12,2.339
13,2.294
14,2.271
15,2.259
16,2.233
17,2.189
18,2.132
19,2.073
20,2.010
21,1.941
22,1.873
23,1.816
24,1.781
25,1.773
26,1.792
27,1.839
28,1.923
29,2.047
30,2.200
31,2.363
32,2.510
33,2.628
34,2.723
35,2.836
36,3.003
37,3.223
38,3.462
39,3.676
40,3.837
41,3.971
42,4.167
43,4.549
44,5.195
45,6.098
46,7.251
47,8.732
48,10.628
49,12.888
50,15.353
51,17.901
52,20.461
53,22.898
54,24.982
55,26.584
56,27.901
57,29.683
58,32.486
59,35.486
60,37.381
61,37.670
62,37.095
63,36.975
64,38.311
65,41.061
66,44.326
67,47.070
68,48.757
69,49.400
70,49.707
71,50.549
72,52.075
73,54.277
74,57.464
75,60.913
76,62.774
77,61.850
78,58.471
79,53.873
80,49.564
81,47.234
82,47.340
83,48.945
84,50.901
85,52.060
86,51.535
87,49.537
88,47.354
89,46.360
90,47.205
91,48.731
92,49.331
