 ,Value
1,41.344
2,41.934
3,42.558
4,43.402
5,44.925
6,47.094
7,50.008
8,53.767
9,58.546
10,63.688
11,67.972
12,71.047
13,73.564
14,76.051
15,78.098
16,78.561
17,77.451
18,75.585
19,73.813
20,71.857
21,68.984
22,65.339
23,61.955
24,59.663
25,59.203
26,61.016
27,64.489
28,68.181
29,71.097
30,73.260
31,74.711
32,75.498
33,75.949
34,76.883
35,79.143
36,82.511
37,86.474
38,89.902
39,91.935
40,93.737
41,96.673
42,100.816
43,105.240
44,108.377
45,108.818
46,107.342
47,105.956
48,105.364
49,104.780
50,102.561
51,97.995
52,91.603
53,84.823
54,79.561
55,77.197
56,77.917
57,81.609
58,87.868
59,94.945
60,100.386
61,102.562
62,101.229
63,98.637
64,97.030
65,96.432
66,95.330
67,91.994
68,87.152
69,83.226
70,81.670
71,82.428
72,83.707
73,82.904
74,79.942
75,76.177
76,71.821
77,66.996
78,62.679
79,60.039
80,59.586
81,61.357
82,64.165
83,65.770
84,64.564
85,60.447
86,54.149
87,47.066
88,41.231
89,37.776
90,36.479
91,36.246
92,36.407
