 ,Value
1,1209.743
2,1155.107
3,1120.571
4,1081.071
5,1061.461
6,1043.848
7,1040.065
8,1014.869
9,993.796
10,978.431
11,976.428
12,974.356
13,984.512
14,1029.970
15,1053.657
16,1094.110
17,1102.558
18,1110.311
19,1107.586
20,1117.362
21,1106.132
22,1121.986
23,1124.388
24,1123.741
25,1142.034
26,1097.441
27,1096.575
28,1103.250
29,1118.508
30,1130.535
31,1136.831
32,1134.836
33,1110.986
34,1108.637
35,1116.027
36,1122.007
37,1149.761
38,1154.488
39,1161.660
40,1195.372
41,1230.363
42,1266.400
43,1298.649
44,1319.495
45,1310.821
46,1272.085
47,1200.309
48,1108.797
49,1021.644
50,933.552
51,882.059
52,835.496
53,801.596
54,803.414
55,855.775
56,907.213
57,980.576
58,1062.360
59,1151.181
60,1242.780
61,1311.819
62,1348.328
63,1351.508
64,1332.811
65,1278.809
66,1209.398
67,1128.969
68,1060.900
69,1034.217
70,988.001
71,949.165
72,907.736
73,906.415
74,900.486
75,903.282
76,943.836
77,995.132
78,1019.548
79,1018.270
80,1000.753
81,998.382
82,991.527
83,970.693
84,935.963
85,922.594
86,931.205
87,987.906
88,1040.944
89,1113.581
90,1206.949
91,1253.420
92,1265.740
