 ,Value
1,3508.761
2,3570.223
3,3580.365
4,3422.107
5,3464.877
6,3457.800
7,3417.275
8,3424.089
9,3422.322
10,3394.926
11,3419.359
12,3434.867
13,3450.785
14,3434.095
15,3485.018
16,3474.369
17,3514.447
18,3475.452
19,3472.603
20,3430.529
21,3429.710
22,3445.196
23,3423.658
24,3474.454
25,3410.229
26,3434.282
27,3465.343
28,3389.352
29,3462.085
30,3502.305
31,3494.110
32,3422.616
33,3433.579
34,3346.969
35,3348.641
36,3417.240
37,3448.978
38,3416.988
39,3370.003
40,3404.333
41,3434.379
42,3471.512
43,3457.540
44,3397.463
45,3417.489
46,3427.322
47,3444.757
48,3437.164
49,3411.962
50,3461.848
51,3481.813
52,3449.441
53,3502.501
54,3441.295
55,3468.508
56,3421.321
57,3402.644
58,3421.918
59,3453.191
60,3504.253
61,3531.734
62,3525.001
63,3499.783
64,3560.009
65,3555.012
66,3477.016
67,3475.689
68,3537.792
69,3493.164
70,3484.003
71,3508.413
72,3455.861
73,3457.653
74,3433.799
75,3409.635
76,3390.559
77,3416.844
78,3462.661
79,3382.749
80,3380.500
81,3401.972
82,3462.516
83,3405.622
84,3432.478
85,3463.174
86,3420.217
87,3466.175
88,3405.840
89,3483.451
90,3447.789
91,3402.392
92,3450.413
93,3469.967
94,3434.113
95,3472.534
96,3516.035
97,3505.904
98,3484.749
99,3450.826
100,3554.823
101,3509.325
102,3528.086
103,3537.382
104,3551.403
105,3503.176
106,3471.083
107,3440.677
108,3521.026
109,3490.750
110,3492.842
111,3536.899
112,3554.819
113,3499.161
114,3665.037
115,3611.365
116,3585.302
117,3540.047
118,3550.238
119,3543.099
120,3512.055
121,3472.875
122,3564.126
123,3576.384
124,3592.748
125,3580.898
126,3534.082
127,3576.623
128,3515.363
