 ,Value
1,3357.018
2,3385.410
3,3462.464
4,3448.930
5,3374.098
6,3435.201
7,3436.809
8,3454.247
9,3456.770
10,3412.580
11,3423.235
12,3467.840
13,3429.478
14,3441.585
15,3440.799
16,3428.743
17,3454.486
18,3515.760
19,3485.161
20,3425.879
21,3493.271
22,3476.333
23,3407.216
24,3379.437
25,3456.735
26,3420.902
27,3425.973
28,3448.501
29,3409.156
30,3368.095
31,3398.102
32,3366.064
33,3392.510
34,3423.860
35,3443.182
36,3440.565
37,3468.164
38,3450.356
39,3347.556
40,3426.183
41,3432.153
42,3461.606
43,3489.609
44,3495.957
45,3455.060
46,3453.182
47,3459.225
48,3458.943
49,3402.736
50,3520.330
51,3456.318
52,3460.200
53,3513.283
54,3469.234
55,3489.942
56,3451.523
57,3462.565
58,3437.602
59,3461.257
