 ,Value
1,6305.160
2,6406.220
3,6383.559
4,6567.725
5,6677.860
6,6716.148
7,6715.931
8,6769.703
9,6939.323
10,7064.593
11,7096.152
12,7133.558
13,7236.027
14,7192.363
15,7214.403
16,7184.644
17,7168.215
18,7058.968
19,6919.005
20,6826.056
21,6715.374
22,6576.206
23,6566.490
24,6573.177
25,6454.613
26,6396.975
27,6347.440
28,6384.847
29,6469.850
30,6432.525
31,6465.256
32,6369.359
33,6204.684
34,5999.244
35,5520.189
36,5092.863
37,4893.415
38,4867.580
39,4942.065
40,5069.948
41,5182.012
42,5552.063
43,5910.725
44,6432.608
45,6929.009
46,7436.167
47,7827.329
48,8153.952
49,8160.718
50,7898.672
51,7169.981
52,6212.528
53,5331.475
54,4813.965
55,4760.551
56,4878.804
57,5028.742
58,5223.111
59,5335.230
60,5535.556
61,5770.960
62,5971.350
63,6205.201
64,6408.010
65,6681.424
66,6833.109
67,6831.569
68,6970.806
69,7152.080
70,7234.730
71,7155.677
72,7040.694
73,6873.733
74,6583.025
75,6523.518
76,6579.199
77,6527.215
78,6375.092
79,6362.129
80,6356.874
81,6468.971
82,6547.588
83,6423.663
84,6304.146
85,6086.812
86,5731.171
87,5470.004
88,5304.237
89,5179.994
90,5251.338
91,5302.157
92,5390.034
93,5528.891
