 ,Value
1,6785.765
2,6716.374
3,6604.828
4,6682.467
5,6640.156
6,6603.608
7,6604.702
8,6564.528
9,6549.606
10,6477.776
11,6415.019
12,6348.860
13,6334.329
14,6313.685
15,6350.139
16,6269.666
17,6259.269
18,6171.400
19,5966.413
20,5816.522
21,5890.535
22,5837.580
23,5856.771
24,5790.937
25,5784.418
26,5841.149
27,5957.375
28,6170.066
29,6189.504
30,6354.342
31,6552.893
32,6725.901
33,6536.521
34,6355.208
35,6473.309
36,6871.424
37,7064.969
38,6931.100
39,6325.695
40,5779.943
41,5534.944
42,5848.345
43,6399.859
44,7147.013
45,7845.528
46,8096.301
47,7826.631
48,7214.168
49,6261.214
50,5287.541
51,4772.130
52,4802.228
53,5230.443
54,5787.856
55,6188.906
56,6448.894
57,6548.884
58,6444.348
59,6399.705
60,6187.837
61,6175.713
62,6272.707
63,6476.447
64,6817.967
65,6997.959
66,7041.541
67,6906.482
68,6702.238
69,6726.479
70,6729.547
71,6768.478
72,6799.134
73,6792.816
74,6787.724
75,6863.809
76,6827.877
77,6672.754
78,6447.527
79,6148.535
80,5957.233
81,5743.661
82,5477.538
83,5296.968
84,5225.061
85,5143.684
86,5164.231
87,5178.758
88,5240.741
89,5199.723
90,5182.686
91,5137.855
92,5030.054
