 ,Value
1,3.753
2,3.699
3,3.663
4,3.704
5,3.822
6,3.957
7,4.061
8,4.112
9,4.099
10,4.036
11,3.955
12,3.905
13,3.930
14,4.045
15,4.235
16,4.447
17,4.645
18,4.813
19,4.945
20,5.013
21,4.996
22,4.964
23,5.008
24,5.144
25,5.305
26,5.412
27,5.476
28,5.552
29,5.681
30,5.882
31,6.115
32,6.283
33,6.299
34,6.158
35,6.021
36,6.002
37,6.076
38,6.191
39,6.320
40,6.459
41,6.700
42,7.247
43,8.414
44,10.685
45,14.864
46,22.660
47,37.691
48,67.119
49,124.502
50,226.792
51,370.265
52,498.060
53,536.120
54,468.419
55,348.995
56,238.587
57,162.001
58,116.715
59,93.788
60,83.886
61,80.677
62,80.212
63,80.249
64,79.919
65,78.674
66,76.751
67,75.465
68,75.387
69,76.588
70,77.981
71,78.635
72,79.197
73,79.876
74,80.855
75,82.353
76,84.098
77,85.289
78,86.248
79,87.319
80,86.823
81,83.916
82,79.821
83,77.056
84,76.762
85,77.581
86,78.266
87,78.431
88,77.836
89,76.666
90,74.939
91,72.988
92,71.146
