 ,Value
1,2.370
2,2.343
3,2.303
4,2.264
5,2.233
6,2.194
7,2.148
8,2.135
9,2.190
10,2.334
11,2.533
12,2.721
13,2.836
14,2.877
15,2.906
16,2.985
17,3.122
18,3.304
19,3.457
20,3.511
21,3.460
22,3.373
23,3.328
24,3.366
25,3.492
26,3.653
27,3.807
28,3.978
29,4.177
30,4.377
31,4.578
32,4.795
33,5.029
34,5.271
35,5.515
36,5.793
37,6.239
38,7.075
39,8.523
40,10.838
41,14.362
42,19.565
43,26.800
44,35.933
45,46.635
46,59.624
47,76.955
48,101.173
49,132.146
50,165.493
51,195.090
52,216.300
53,229.825
54,247.111
55,283.372
56,334.636
57,370.163
58,361.378
59,310.331
60,241.850
61,178.436
62,131.286
63,101.594
64,86.000
65,79.437
66,77.440
67,76.234
68,74.245
69,72.658
70,72.700
71,73.779
72,74.369
73,74.241
74,74.555
75,75.776
76,76.624
77,76.042
78,75.142
79,75.358
80,76.653
81,78.421
82,79.822
83,80.217
84,79.608
85,78.240
86,76.658
87,75.020
88,73.293
89,70.957
90,68.433
91,65.811
92,63.277
93,61.101
