 ,Value
1,48.109
2,47.489
3,47.496
4,48.520
5,50.234
6,51.808
7,52.581
8,53.028
9,53.587
10,54.522
11,56.239
12,57.855
13,58.034
14,56.142
15,53.289
16,51.614
17,51.609
18,52.424
19,53.140
20,53.698
21,54.495
22,55.818
23,57.963
24,60.858
25,64.823
26,70.208
27,76.182
28,82.363
29,89.009
30,95.642
31,100.995
32,105.606
33,110.647
34,116.121
35,120.592
36,121.777
37,118.395
38,110.853
39,99.066
40,83.543
41,66.999
42,51.880
43,39.471
44,30.039
45,23.287
46,18.855
47,16.666
48,16.569
49,18.016
50,20.340
51,23.337
52,27.349
53,32.556
54,39.071
55,46.896
56,55.922
57,65.059
58,72.176
59,77.086
60,81.250
61,85.428
62,89.079
63,91.335
64,92.351
65,92.721
66,91.262
67,87.001
68,81.947
69,78.661
70,77.815
71,78.288
72,79.076
73,80.281
74,82.666
75,85.793
76,86.893
77,84.090
78,79.528
79,75.774
80,72.524
81,68.484
82,64.207
83,60.636
84,57.927
85,56.349
86,56.652
87,59.276
88,63.403
89,67.822
90,72.836
91,78.127
92,82.295
93,84.455
