 ,Value
1,4391.477
2,4574.818
3,4528.319
4,4480.862
5,4458.057
6,4543.957
7,4357.988
8,4222.016
9,4175.164
10,4296.913
11,4373.206
12,4538.290
13,4403.927
14,4438.907
15,4636.723
16,4964.448
17,4904.025
18,4825.289
19,4633.516
20,4300.113
21,4253.029
22,4393.915
23,4469.246
24,4226.314
25,4220.271
26,4105.070
27,4091.176
28,4279.198
29,4345.086
30,4319.606
31,4327.101
32,4451.325
33,4523.708
34,4523.892
35,4378.125
36,4250.054
37,4183.680
38,4190.149
39,4212.046
40,4164.472
41,4358.685
42,4404.446
43,4253.950
44,4148.981
45,4198.731
46,4279.288
47,4401.074
48,4396.175
49,4368.727
50,4505.079
51,4330.975
52,4369.545
53,4213.995
54,4411.173
55,4595.140
56,4640.572
57,4562.171
58,4698.223
59,4639.152
60,4351.510
61,4396.115
62,4420.026
63,4388.407
64,4454.079
65,4566.463
66,4605.117
67,4717.173
68,4801.724
69,4875.953
70,4883.794
71,4902.153
72,4659.297
73,4543.588
