 ,Value
1,3435.578
2,3455.063
3,3432.384
4,3487.879
5,3531.844
6,3500.487
7,3489.161
8,3531.336
9,3493.617
10,3496.651
11,3455.818
12,3538.427
13,3489.746
14,3503.082
15,3495.622
16,3495.354
17,3505.491
18,3490.817
19,3458.612
20,3474.287
21,3476.325
22,3421.915
23,3457.117
24,3475.129
25,3497.354
26,3498.911
27,3529.135
28,3494.661
29,3483.410
30,3492.268
31,3485.769
32,3467.785
33,3491.553
34,3457.471
35,3444.157
36,3496.737
37,3485.743
38,3485.656
39,3500.907
40,3532.628
41,3515.060
42,3540.807
43,3547.974
44,3467.525
45,3452.685
46,3460.537
47,3475.010
48,3481.011
49,3493.024
50,3492.135
51,3479.568
52,3487.199
53,3542.738
54,3519.041
55,3519.464
56,3535.453
57,3484.619
58,3457.749
59,3478.583
60,3530.207
61,3569.036
62,3525.890
63,3465.374
