 ,Value
1,3500.164
2,3507.154
3,3522.151
4,3462.013
5,3529.904
6,3539.664
7,3511.536
8,3504.201
9,3442.120
10,3458.722
11,3490.326
12,3534.041
13,3478.963
14,3468.679
15,3477.228
16,3522.640
17,3509.331
18,3492.152
19,3535.898
20,3485.753
21,3515.593
22,3536.557
23,3539.942
24,3483.369
25,3450.362
26,3525.830
27,3522.655
28,3529.197
29,3451.641
30,3382.854
31,3416.072
32,3481.891
33,3449.593
34,3428.704
35,3432.080
36,3486.004
37,3428.173
38,3458.801
39,3435.369
40,3473.238
41,3470.686
42,3429.667
43,3429.607
44,3480.050
45,3453.265
46,3454.466
47,3549.019
48,3559.530
49,3494.402
50,3490.670
51,3508.164
52,3485.248
53,3503.842
54,3524.859
55,3440.952
56,3457.460
57,3499.355
58,3549.637
59,3547.715
60,3493.567
61,3563.853
62,3612.928
63,3591.885
64,3556.614
65,3603.619
66,3606.571
67,3626.592
68,3657.048
69,3716.517
70,3666.585
71,3750.005
72,3664.434
73,3696.559
74,3774.786
75,3752.231
76,3721.471
77,3680.750
78,3734.852
79,3681.256
80,3687.040
81,3627.912
82,3643.094
83,3580.402
84,3641.122
85,3643.232
86,3582.625
87,3609.552
88,3564.861
89,3544.913
90,3538.192
91,3605.362
92,3611.290
93,3651.593
94,3660.668
95,3684.844
96,3703.636
97,3833.192
98,3871.843
99,3699.724
100,3648.109
101,3634.775
102,3545.359
103,3527.551
104,3490.981
105,3488.977
106,3514.064
107,3493.092
108,3573.590
109,3519.356
110,3555.120
111,3471.768
112,3518.017
113,3461.939
114,3413.281
115,3422.695
116,3407.928
117,3427.171
118,3443.124
119,3560.357
120,3609.902
121,3622.428
122,3570.350
123,3559.622
124,3540.490
125,3486.797
126,3431.212
127,3413.425
128,3444.966
129,3435.866
130,3441.872
131,3451.981
132,3453.058
133,3478.529
134,3433.140
135,3472.934
136,3533.996
137,3483.156
138,3427.793
139,3375.243
140,3458.396
141,3469.630
142,3446.615
143,3437.712
144,3472.357
145,3416.836
146,3438.458
147,3486.125
148,3436.727
149,3459.240
150,3492.646
151,3448.697
152,3438.137
153,3489.238
154,3482.364
155,3532.415
156,3478.086
157,3433.470
158,3419.719
159,3422.760
160,3476.934
161,3451.074
162,3459.639
163,3504.838
164,3505.214
165,3470.463
166,3425.011
167,3417.977
168,3441.016
