 ,Value
1,3354.276
2,3369.972
3,3359.057
4,3400.240
5,3359.514
6,3299.853
7,3338.022
8,3346.074
9,3338.358
10,3358.999
11,3389.420
12,3341.814
13,3373.474
14,3355.291
15,3356.565
16,3382.258
17,3369.918
18,3368.150
19,3374.160
20,3355.435
21,3361.935
22,3423.559
23,3387.237
24,3323.044
25,3346.252
26,3370.482
27,3352.853
28,3409.305
29,3353.919
30,3348.653
31,3359.525
32,3357.594
33,3399.196
34,3393.020
35,3338.062
36,3374.267
37,3381.671
38,3384.737
39,3369.266
40,3350.238
41,3372.008
42,3325.725
43,3328.493
44,3369.711
45,3338.332
46,3345.752
47,3358.673
48,3363.922
49,3317.895
50,3361.617
51,3340.577
52,3372.842
53,3341.215
54,3373.503
55,3361.048
56,3349.915
57,3339.744
58,3342.415
59,3358.637
60,3359.674
61,3373.558
62,3366.155
63,3327.964
64,3334.992
65,3313.886
66,3321.628
67,3325.355
68,3340.918
69,3337.624
70,3334.990
71,3362.568
72,3341.975
73,3358.489
74,3339.599
75,3341.947
76,3385.425
77,3370.276
78,3355.323
79,3382.551
80,3388.990
81,3369.510
82,3392.244
83,3377.576
84,3392.562
85,3367.556
86,3367.576
87,3365.063
88,3353.823
89,3374.842
90,3430.151
91,3399.023
92,3388.499
93,3409.635
94,3407.546
95,3403.508
96,3385.785
97,3374.567
98,3356.945
99,3437.785
100,3447.005
101,3434.790
102,3402.183
103,3419.025
104,3393.819
105,3448.187
106,3452.488
107,3451.977
108,3442.268
109,3447.477
110,3466.406
111,3473.612
112,3515.239
113,3514.757
114,3509.051
115,3474.225
116,3449.350
117,3524.260
118,3489.854
