 ,Value
1,3588.653
2,3557.710
3,3596.585
4,3578.515
5,3589.661
6,3603.677
7,3595.350
8,3557.032
9,3574.220
10,3564.067
11,3548.230
12,3494.732
13,3620.518
14,3586.797
15,3518.084
16,3546.614
17,3573.290
18,3555.283
19,3499.670
20,3558.773
21,3556.603
22,3539.908
23,3486.189
24,3447.275
25,3446.762
26,3492.091
27,3477.675
28,3436.146
29,3435.288
30,3444.104
31,3431.917
32,3401.039
33,3490.934
34,3465.408
35,3433.757
36,3431.808
37,3431.052
38,3410.039
39,3383.899
40,3380.486
41,3405.997
42,3431.229
43,3430.107
44,3439.104
45,3399.841
46,3411.649
47,3438.579
48,3445.615
49,3400.044
50,3385.823
51,3375.725
52,3388.816
53,3409.518
54,3405.476
55,3428.539
56,3424.831
57,3391.031
58,3379.024
59,3417.197
60,3399.108
61,3354.504
62,3368.218
63,3441.773
64,3423.686
65,3376.902
66,3393.875
67,3363.129
68,3385.900
69,3389.021
70,3351.629
71,3380.207
72,3362.229
73,3401.355
74,3378.530
75,3383.861
76,3398.838
77,3385.898
78,3406.495
79,3379.508
80,3399.084
81,3413.609
82,3373.660
83,3389.913
84,3415.220
85,3402.982
86,3422.920
87,3363.385
88,3344.613
89,3392.144
90,3395.081
91,3398.188
92,3413.805
93,3378.596
94,3398.646
95,3378.322
96,3392.070
97,3403.468
98,3383.136
99,3382.928
100,3415.512
101,3459.758
102,3390.100
103,3436.890
104,3441.890
105,3431.915
106,3399.702
107,3447.115
108,3427.698
109,3427.581
110,3437.998
111,3445.122
112,3463.259
113,3412.878
114,3433.076
115,3486.962
116,3523.165
117,3455.961
118,3463.578
119,3474.952
120,3466.194
121,3506.732
122,3492.443
123,3510.870
124,3547.779
125,3549.070
126,3527.143
127,3527.187
128,3560.346
129,3522.764
130,3551.803
131,3539.638
132,3583.888
133,3533.191
134,3543.918
135,3578.946
136,3549.487
137,3577.935
138,3551.494
139,3518.138
140,3483.686
141,3534.372
142,3567.089
143,3603.768
144,3626.745
145,3535.359
146,3587.187
147,3545.308
148,3581.709
149,3588.408
150,3571.135
151,3645.166
152,3706.791
