 ,Mean,Min,Max,Angle,Median,Ch,Frame,Length
103,3503.405,3128,3959,-121.675,3497.000,1,103,55.227
104,3489.216,3110,3846,-121.675,3488.000,1,104,55.227
105,3497.970,3155,4001,-121.675,3488.000,1,105,55.227
106,3502.192,3211,4007,-121.675,3495.000,1,106,55.227
107,3505.020,3141,3964,-121.675,3497.000,1,107,55.227
108,3505.831,3110,4089,-121.675,3497.000,1,108,55.227
109,3504.568,3161,4086,-121.675,3497.000,1,109,55.227
110,3504.714,3188,3886,-121.675,3495.000,1,110,55.227
111,3487.263,3156,3913,-121.675,3481.000,1,111,55.227
112,3491.917,3130,3926,-121.675,3482.000,1,112,55.227
113,3493.252,3142,3872,-121.675,3489.000,1,113,55.227
114,3470.901,3146,4177,-121.675,3466.000,1,114,55.227
115,3488.032,3164,3849,-121.675,3476.000,1,115,55.227
116,3495.149,3160,3934,-121.675,3484.000,1,116,55.227
117,3487.190,3168,3934,-121.675,3484.000,1,117,55.227
118,3500.984,3192,3974,-121.675,3492.000,1,118,55.227
119,3494.693,3150,3991,-121.675,3484.000,1,119,55.227
120,3502.011,3182,4063,-121.675,3492.000,1,120,55.227
121,3486.694,3026,4142,-121.675,3477.000,1,121,55.227
122,3516.407,3071,4047,-121.675,3510.000,1,122,55.227
123,3500.996,3120,3946,-121.675,3489.000,1,123,55.227
124,3481.869,3116,4030,-121.675,3467.000,1,124,55.227
125,3507.847,3125,4237,-121.675,3501.000,1,125,55.227
126,3488.574,3153,3971,-121.675,3474.000,1,126,55.227
127,3482.091,3125,4052,-121.675,3470.000,1,127,55.227
128,3486.504,3099,4095,-121.675,3473.000,1,128,55.227
129,3486.279,3172,4164,-121.675,3476.000,1,129,55.227
130,3484.705,3126,3953,-121.675,3471.000,1,130,55.227
131,3489.064,2983,3919,-121.675,3475.000,1,131,55.227
132,3490.114,3164,3956,-121.675,3482.000,1,132,55.227
133,3470.449,3116,3941,-121.675,3467.000,1,133,55.227
134,3501.260,3110,4076,-121.675,3490.500,1,134,55.227
135,3490.625,3102,3988,-121.675,3487.500,1,135,55.227
136,3491.626,3099,3930,-121.675,3489.000,1,136,55.227
137,3484.333,3174,4016,-121.675,3475.000,1,137,55.227
138,3485.797,3105,3966,-121.675,3476.500,1,138,55.227
139,3491.093,3120,3998,-121.675,3479.000,1,139,55.227
140,3479.285,3159,3978,-121.675,3470.500,1,140,55.227
141,3493.972,3173,3992,-121.675,3485.000,1,141,55.227
142,3498.511,3171,4080,-121.675,3487.500,1,142,55.227
