 ,Value
1,3887.610
2,3954.108
3,3910.374
4,3958.401
5,3832.148
6,3900.687
7,3772.553
8,3821.450
9,3952.669
10,3866.107
11,3733.593
12,3678.591
13,3738.982
14,3804.264
15,3901.738
16,3837.158
17,3745.219
18,3723.550
19,3760.369
20,3860.814
21,4005.946
22,3984.024
23,4037.798
24,4013.202
25,4112.983
26,3899.615
27,3974.149
28,3979.430
29,3851.926
30,3826.490
31,3842.475
32,3801.316
33,3792.962
34,3837.658
35,3772.519
36,3863.596
37,3891.649
38,3892.213
39,3918.497
40,3892.376
41,3895.926
42,3935.926
43,4025.648
44,4100.384
45,3917.769
46,4013.814
47,3919.478
48,3898.758
49,3892.590
50,3865.642
51,3810.810
