 ,Mean,Min,Max,Angle,Median,Ch,Frame,Length
97,3481.869,3116,4030,-121.675,3467.000,1,124,55.227
98,3507.847,3125,4237,-121.675,3501.000,1,125,55.227
99,3488.574,3153,3971,-121.675,3474.000,1,126,55.227
100,3482.091,3125,4052,-121.675,3470.000,1,127,55.227
101,3486.504,3099,4095,-121.675,3473.000,1,128,55.227
102,3486.279,3172,4164,-121.675,3476.000,1,129,55.227
103,3484.705,3126,3953,-121.675,3471.000,1,130,55.227
104,3489.064,2983,3919,-121.675,3475.000,1,131,55.227
105,3490.114,3164,3956,-121.675,3482.000,1,132,55.227
106,3470.449,3116,3941,-121.675,3467.000,1,133,55.227
107,3501.260,3110,4076,-121.675,3490.500,1,134,55.227
108,3490.625,3102,3988,-121.675,3487.500,1,135,55.227
109,3491.626,3099,3930,-121.675,3489.000,1,136,55.227
110,3484.333,3174,4016,-121.675,3475.000,1,137,55.227
111,3485.797,3105,3966,-121.675,3476.500,1,138,55.227
112,3491.093,3120,3998,-121.675,3479.000,1,139,55.227
113,3479.285,3159,3978,-121.675,3470.500,1,140,55.227
114,3493.972,3173,3992,-121.675,3485.000,1,141,55.227
115,3498.511,3171,4080,-121.675,3487.500,1,142,55.227
