 ,Value
1,3604.447
2,3574.064
3,3579.039
4,3586.045
5,3630.226
6,3574.604
7,3631.334
8,3607.874
9,3626.883
10,3530.343
11,3662.037
12,3712.242
13,3626.337
14,3631.088
15,3673.939
16,3635.627
17,3592.097
18,3609.109
19,3657.463
20,3703.920
21,3648.289
22,3644.255
23,3637.554
24,3628.312
25,3642.407
26,3681.194
27,3694.993
28,3651.151
29,3653.980
30,3611.652
31,3605.037
32,3620.737
33,3646.265
34,3617.427
35,3660.885
36,3691.960
37,3736.331
38,3703.630
39,3629.212
40,3667.844
41,3684.661
42,3729.885
43,3695.935
44,3621.950
45,3592.443
46,3658.062
47,3608.220
48,3617.032
49,3592.664
50,3565.947
51,3562.370
