 ,Value
1,3654.323
2,3725.939
3,3659.220
4,3635.887
5,3607.240
6,3622.376
7,3605.271
8,3640.220
9,3702.844
10,3661.229
11,3622.556
12,3676.689
13,3660.047
14,3610.341
15,3711.943
16,3586.970
17,3628.398
18,3664.967
19,3685.395
20,3647.104
21,3647.270
22,3621.718
23,3710.182
24,3757.239
25,3742.470
26,3725.348
27,3759.500
28,3680.030
29,3656.931
30,3744.517
31,3683.690
32,3655.450
33,3662.536
34,3627.115
35,3662.620
36,3615.676
37,3648.673
38,3662.224
39,3615.616
40,3539.897
41,3569.709
42,3608.352
43,3686.717
44,3711.939
45,3610.049
46,3633.174
47,3648.086
48,3647.432
49,3623.360
