[sec],Mean
0.000,3223.9287
6.841,3234.6943
13.683,3242.3276
20.524,3237.9231
27.365,3231.7017
34.207,3238.4309
41.048,3230.2031
47.889,3244.1675
54.731,3225.5286
61.572,3235.8062
68.413,3251.5117
75.255,3231.4839
82.096,3237.7529
88.937,3237.1929
95.779,3234.6880
102.620,3222.4495
109.461,3238.1423
116.303,3240.8975
123.144,3236.5845
129.985,3240.5757
136.827,3247.7947
143.668,3254.4148
150.509,3253.0120
157.351,3249.3074
164.192,3236.0339
171.033,3232.2581
177.875,3237.9800
184.716,3247.8994
191.557,3241.8115
198.399,3242.4536
205.240,3244.4773
212.081,3237.5173
218.923,3240.8809
225.764,3232.6921
232.605,3243.0073
239.447,3225.9724
246.288,3246.2310
253.129,3238.7363
259.971,3251.9097
266.812,3234.1814
273.653,3243.2524
280.495,3236.9189
287.336,3241.9011
294.177,3226.3242
301.019,3229.4868
307.860,3235.2478
314.701,3225.7832
321.543,3233.9690
328.384,3229.4529
335.225,3253.4563
342.067,3246.7266
348.908,3237.4297
355.749,3233.8525
362.591,3231.6870
369.432,3250.8044
376.273,3235.9785
383.115,3235.3313
389.956,3240.4155
396.797,3238.5818
403.639,3243.0522
410.480,3242.3992
417.321,3234.7185
424.163,3233.0828
431.004,3240.4788
437.845,3249.3032
444.687,3244.6143
451.528,3231.5823
458.369,3232.3394
465.211,3230.1147
472.052,3249.6846
478.893,3232.5884
485.735,3241.3303
492.576,3241.3640
499.417,3238.0972
506.259,3235.6917
513.100,3232.6577
519.941,3237.6360
526.783,3232.8079
533.624,3230.2017
540.465,3232.1968
547.307,3231.6484
554.148,3228.5466
560.989,3228.6970
567.831,3238.7471
574.672,3234.1384
581.513,3223.7307
588.355,3237.3923
595.196,3227.7715
602.037,3247.4285
608.879,3234.7854
615.720,3243.3706
622.561,3236.0442
629.403,3232.2747
636.244,3246.0405
643.085,3245.3491
649.927,3243.3357
656.768,3230.1824
663.609,3229.8384
670.451,3247.1147
677.292,3239.8921
684.133,3236.6597
690.975,3235.4595
697.816,3240.7063
704.657,3229.6082
711.499,3246.1277
718.340,3236.1565
725.181,3243.1379
732.023,3227.0615
738.864,3234.4590
745.705,3236.4402
752.547,3233.0420
759.388,3222.4243
766.229,3249.6160
773.071,3232.2761
779.912,3248.3455
786.753,3237.0415
793.595,3232.6885
800.436,3237.0317
807.277,3237.2676
814.119,3242.1282
820.960,3227.3279
827.801,3234.1750
834.643,3241.4871
841.484,3237.9709
848.325,3234.7681
855.167,3240.8997
862.008,3237.7827
868.849,3227.7881
875.691,3232.8477
882.532,3233.5347
889.373,3229.8992
896.215,3238.9084
903.056,3231.2158
