[sec],Mean
0.000,3240.9912
6.754,3238.7327
13.508,3248.7334
20.262,3248.8508
27.016,3228.2654
33.770,3238.9597
40.524,3238.7229
47.278,3239.0198
54.032,3239.1353
60.786,3237.4714
67.540,3229.6907
74.294,3235.4678
81.048,3244.1797
87.802,3237.4202
94.556,3240.3037
101.310,3241.3115
108.064,3240.5012
114.818,3241.8074
121.572,3233.5488
128.326,3236.4312
135.080,3234.8923
141.834,3236.2537
148.588,3242.3767
155.342,3236.5876
162.096,3244.4346
168.850,3234.2939
175.604,3241.3184
182.358,3225.1814
189.112,3240.2878
195.866,3229.8794
202.620,3239.4695
209.374,3226.8259
216.128,3227.9541
222.882,3231.7002
229.636,3243.4670
236.390,3237.1592
243.144,3240.7117
249.898,3230.7163
256.652,3232.9880
263.406,3235.5410
270.160,3228.3606
276.914,3248.0107
283.668,3239.0500
290.422,3230.9612
297.176,3243.7358
303.930,3233.1003
310.684,3233.9346
317.438,3250.6597
324.192,3229.4351
330.946,3235.6279
337.700,3247.2383
344.454,3245.7766
351.208,3231.4668
357.962,3241.5820
364.716,3234.9871
371.470,3234.7625
378.224,3235.2319
384.978,3237.5596
391.732,3232.6143
398.486,3236.7688
405.240,3233.9766
411.994,3237.1531
418.748,3235.0757
425.502,3240.5928
432.256,3237.3196
439.010,3232.2244
445.764,3238.9863
452.518,3230.2463
459.272,3236.5190
466.026,3234.4744
472.780,3238.7939
479.534,3228.1536
486.288,3237.7634
493.042,3245.0642
499.796,3238.8333
506.550,3221.9185
513.304,3234.9753
520.058,3240.4436
526.812,3243.5940
533.566,3237.9224
540.320,3226.5605
547.074,3237.6536
553.828,3245.6287
560.582,3239.3003
567.336,3237.5078
574.090,3258.2417
580.844,3232.7197
587.598,3234.3081
594.352,3232.1758
601.106,3240.1296
607.860,3235.1162
614.614,3244.3191
621.368,3223.5432
628.122,3240.3945
634.876,3242.0051
641.630,3226.8699
648.384,3235.8315
655.138,3241.0051
661.892,3228.2971
668.646,3241.4185
675.400,3230.6863
682.154,3237.4180
688.908,3233.8518
695.662,3231.9402
702.416,3238.8567
709.170,3237.8232
715.924,3245.0327
722.678,3245.5017
729.432,3236.0342
736.186,3234.9463
742.940,3237.6450
749.694,3241.5144
756.448,3233.2029
763.202,3239.5510
769.956,3231.5378
776.710,3243.8652
783.464,3239.7068
790.218,3234.2666
796.972,3232.7490
803.726,3235.3389
810.480,3235.6101
817.234,3244.6272
823.988,3238.4368
830.742,3243.9578
837.496,3224.1501
844.250,3241.1240
851.004,3234.1660
857.758,3234.8167
864.512,3228.0203
871.266,3230.2141
878.020,3228.4797
