[sec],Mean
0.000,3223.7756
14.927,3230.0530
29.854,3228.2146
44.781,3224.8193
59.708,3228.2795
74.635,3237.7815
89.562,3239.0088
104.489,3218.4707
119.416,3219.2202
134.343,3222.4768
149.270,3214.1833
164.197,3223.3323
179.124,3236.6560
194.051,3221.8860
208.978,3222.4785
223.905,3222.1011
238.832,3223.0195
253.759,3214.2290
268.686,3206.0256
283.613,3222.2415
298.540,3227.9314
313.467,3224.1135
328.394,3213.0166
343.321,3221.6138
358.248,3207.0825
373.175,3221.3972
388.102,3211.1958
403.029,3211.8281
417.956,3225.9719
432.883,3239.5684
447.810,3224.7585
462.737,3235.7666
477.664,3217.6252
492.591,3225.8726
507.518,3210.6108
522.445,3209.4038
537.372,3236.6396
552.299,3219.8867
567.226,3220.3970
582.153,3226.4097
597.080,3220.6738
612.007,3211.6099
626.934,3225.2805
641.861,3224.3127
656.788,3207.7307
671.715,3232.1851
686.642,3224.1572
701.569,3219.3210
716.496,3234.9121
731.423,3221.7009
746.350,3217.2358
761.277,3229.5608
776.204,3224.2908
791.131,3221.0422
806.058,3227.0916
820.985,3219.7117
835.912,3224.3315
850.839,3225.1929
865.766,3218.0122
880.693,3223.8728
895.620,3230.7595
910.547,3224.8279
925.474,3210.3738
940.401,3226.6260
955.328,3229.0427
970.255,3216.7622
985.182,3218.9299
1000.109,3216.9338
1015.036,3222.1443
1029.963,3226.3289
1044.890,3225.3633
1059.817,3224.3350
1074.744,3218.7117
1089.671,3225.2588
1104.598,3223.6365
1119.525,3222.0303
1134.452,3217.1565
1149.379,3218.3367
1164.306,3220.9890
1179.233,3222.8606
1194.160,3224.6106
1209.087,3215.3472
1224.014,3225.8242
1238.941,3214.6597
1253.868,3227.8613
1268.795,3211.4072
1283.722,3218.5833
1298.649,3229.0288
