[sec],Mean
0.000,3230.1174
14.841,3206.2244
29.681,3228.3088
44.522,3220.6943
59.363,3218.7402
74.203,3212.2209
89.044,3217.8293
103.885,3229.9290
118.725,3217.2559
133.566,3226.8840
148.407,3216.9883
163.247,3224.7742
178.088,3217.5889
192.929,3232.7112
207.769,3211.4143
222.610,3229.8022
237.451,3225.8474
252.291,3240.0757
267.132,3232.3040
281.973,3229.6074
296.813,3233.5425
311.654,3222.1372
326.495,3225.6042
341.335,3214.6182
356.176,3208.8306
371.017,3223.5325
385.857,3229.2676
400.698,3227.8157
415.539,3226.1799
430.379,3229.5222
445.220,3225.5303
460.061,3225.1926
474.901,3222.9653
489.742,3229.5967
504.583,3222.6279
519.423,3225.4370
534.264,3228.9482
549.105,3232.9138
563.945,3220.9614
578.786,3225.1382
593.627,3219.3428
608.467,3217.2263
623.308,3226.5339
638.149,3218.8679
652.989,3230.6082
667.830,3227.6335
682.671,3228.9849
697.511,3219.6482
712.352,3225.7134
727.193,3224.8826
742.033,3221.3923
756.874,3223.8086
771.715,3234.5894
786.555,3214.1196
801.396,3229.8008
816.237,3225.6169
831.077,3217.6121
845.918,3224.6558
860.759,3228.4250
875.599,3227.4651
890.440,3228.8606
905.281,3227.6433
920.121,3230.1050
934.962,3225.8115
949.803,3237.0918
964.643,3229.3660
979.484,3221.6133
994.325,3222.6060
1009.165,3228.9946
1024.006,3232.5034
1038.847,3225.1133
1053.687,3218.8215
1068.528,3221.1973
1083.369,3232.4983
1098.209,3212.4692
1113.050,3243.4561
1127.891,3227.7058
1142.731,3224.1772
1157.572,3230.6653
1172.413,3230.7986
1187.253,3225.3557
1202.094,3214.4878
1216.935,3222.9683
1231.775,3220.5610
1246.616,3233.0117
