 ,Mean,Min,Max,Angle,Median,Ch,Frame,Length
41,4084.317,3479,5085,-119.745,4073.5,1,41,72.56
42,4091.584,3413,4730,-119.745,4088.0,1,42,72.56
43,4086.771,3535,4965,-119.745,4068.0,1,43,72.56
44,4088.417,3444,5004,-119.745,4069.5,1,44,72.56
45,4098.054,3503,4910,-119.745,4076.0,1,45,72.56
46,4087.076,3422,4798,-119.745,4082.0,1,46,72.56
47,4065.94,3519,4892,-119.745,4040.0,1,47,72.56
48,3995.673,3287,4707,-119.745,3992.0,1,48,72.56
49,4011.239,3313,4964,-119.745,3992.0,1,49,72.56
50,4046.798,3470,4930,-119.745,4021.0,1,50,72.56
51,4043.762,3423,4957,-119.745,4037.0,1,51,72.56
52,4021.801,3466,4871,-119.745,4006.0,1,52,72.56
53,4033.953,3467,4853,-119.745,4028.0,1,53,72.56
54,4044.978,3436,4873,-119.745,4024.0,1,54,72.56
55,4048.325,3382,4814,-119.745,4042.0,1,55,72.56
56,4027.904,3409,5157,-119.745,4026.0,1,56,72.56
57,4041.023,3456,4780,-119.745,4032.0,1,57,72.56
58,4021.71,3376,4716,-119.745,4013.0,1,58,72.56
59,4030.134,3516,4810,-119.745,4012.0,1,59,72.56
60,4018.348,3380,4936,-119.745,4005.0,1,60,72.56
61,3995.473,3499,4750,-119.745,3974.0,1,61,72.56
62,4013.009,3392,4767,-119.745,4002.0,1,62,72.56
63,4022.118,3412,4737,-119.745,4012.5,1,63,72.56
64,4020.15,3473,4698,-119.745,4001.0,1,64,72.56
65,4017.192,3483,4754,-119.745,4004.5,1,65,72.56
66,4015.645,3478,4928,-119.745,3998.5,1,66,72.56
67,4029.023,3536,4754,-119.745,4004.5,1,67,72.56
68,4017.818,3486,4796,-119.745,4007.0,1,68,72.56
69,4008.488,3471,4809,-119.745,3990.5,1,69,72.56
70,4001.593,3492,4979,-119.745,3988.0,1,70,72.56
71,4008.326,3360,4698,-119.745,3994.0,1,71,72.56
72,3983.073,3434,5169,-119.745,3981.0,1,72,72.56
73,3989.156,3408,4774,-119.745,3982.0,1,73,72.56
74,3971.584,3426,4770,-119.745,3954.0,1,74,72.56
75,3970.327,3435,4818,-119.745,3961.0,1,75,72.56
76,3938.791,3413,4716,-119.745,3918.5,1,76,72.56
77,3973.915,3439,4662,-119.745,3963.5,1,77,72.56
78,3953.389,3293,4655,-119.745,3946.0,1,78,72.56
79,3947.18,3448,4661,-119.745,3937.0,1,79,72.56
80,3956.999,3401,4690,-119.745,3953.0,1,80,72.56
81,3951.265,3371,4623,-119.745,3934.0,1,81,72.56
82,3953.728,3428,4691,-119.745,3931.0,1,82,72.56
83,3941.709,3352,4534,-119.745,3927.0,1,83,72.56
84,3941.507,3421,4867,-119.745,3935.0,1,84,72.56
85,3949.305,3447,4680,-119.745,3933.0,1,85,72.56
86,3958.073,3374,4752,-119.745,3948.5,1,86,72.56
87,3939.231,3419,4610,-119.745,3925.0,1,87,72.56
88,3948.546,3452,4463,-119.745,3935.0,1,88,72.56
89,3932.012,3346,4648,-119.745,3923.0,1,89,72.56
90,3956.664,3481,4701,-119.745,3945.5,1,90,72.56
91,3924.815,3373,4686,-119.745,3911.0,1,91,72.56
92,3923.445,3406,4763,-119.745,3914.0,1,92,72.56
93,3897.582,3424,4537,-119.745,3881.5,1,93,72.56
94,3881.536,3416,4705,-119.745,3872.5,1,94,72.56
95,3880.999,3419,4604,-119.745,3875.0,1,95,72.56
96,3883.95,3365,4910,-119.745,3869.0,1,96,72.56
97,3870.155,3382,4455,-119.745,3857.0,1,97,72.56
98,3860.796,3405,4520,-119.745,3845.5,1,98,72.56
99,3850.477,3332,4455,-119.745,3832.5,1,99,72.56
100,3846.469,3274,4512,-119.745,3832.0,1,100,72.56
