 ,Value
1,3262.734
2,3291.451
3,3294.162
4,3278.664
5,3279.826
6,3296.752
7,3309.830
8,3332.083
9,3314.804
10,3303.420
11,3313.320
12,3323.495
13,3330.350
14,3322.721
15,3305.914
16,3307.604
17,3306.506
18,3324.379
19,3338.597
20,3310.180
21,3320.552
22,3322.323
23,3362.363
24,3357.566
25,3376.051
26,3342.837
27,3356.257
28,3347.709
29,3372.323
30,3336.280
31,3350.419
32,3357.287
33,3337.385
34,3318.876
35,3341.920
36,3349.230
37,3355.804
38,3342.806
39,3338.412
40,3310.139
41,3309.707
42,3341.018
43,3387.281
44,3419.526
45,3406.929
46,3431.543
47,3459.190
48,3412.440
49,3409.232
50,3420.138
51,3411.401
52,3413.838
53,3400.690
54,3387.550
55,3359.182
56,3333.215
57,3314.364
58,3343.896
59,3356.545
60,3321.857
61,3331.140
62,3297.295
63,3334.891
64,3323.270
65,3321.419
66,3315.492
67,3309.653
68,3308.823
69,3306.490
70,3318.112
71,3316.931
72,3328.020
73,3332.457
74,3313.624
75,3317.647
76,3310.228
77,3319.324
78,3320.925
79,3316.051
80,3320.397
81,3340.244
82,3327.646
83,3335.581
84,3338.262
85,3345.780
86,3314.831
87,3318.282
88,3335.102
89,3367.525
