 ,,name,before_lateral_mean,before_posterior_mean,before_background_mean,before_lateral_median,before_posterior_median,before_background_median,after_lateral_mean,after_posterior_mean,after_background_mean,after_lateral_median,after_posterior_median,after_background_median
1,0,20210226_Oocyte1,4427.901,3510.119,3225.305,4309.000,3498.000,3227.000,3850.519,3581.984,3256.954,3765.000,3542.500,3257.000
2,0,20210226_Oocyte4,4853.914,3653.356,3222.368,4733.000,3614.000,3214.500,4039.899,3644.359,3222.760,3975.000,3619.000,3221.000
3,0,20210311_Oocyte1,4776.922,3714.673,3248.719,4636.500,3648.000,3255.000,3837.392,3535.602,3235.506,3781.000,3481.500,3235.000
4,0,20210315_Oocyte3,5293.732,3608.995,3253.147,5164.500,3597.000,3254.000,3658.031,3636.689,3242.862,3611.000,3621.500,3242.500
5,0,20210317_Oocyte3,4534.178,3617.972,3222.409,4494.000,3601.000,3221.000,3879.612,3473.923,3222.344,3822.000,3467.000,3219.500
6,0,20210326_Oocyte1,4045.462,3569.930,3232.781,3995.000,3557.000,3231.000,3724.788,3635.631,3233.926,3711.000,3619.000,3231.000
7,0,20210326_Oocyte7,4299.726,3630.320,3234.180,4183.000,3610.500,3232.000,3808.320,3692.950,3236.011,3754.667,3671.611,3234.111
8,0,20210326_Oocyte9,4459.301,3695.131,3223.404,4393.000,3642.000,3225.000,3950.971,3626.601,3229.159,3895.000,3610.000,3230.000
9,0,20210326_Oocyte11,5109.240,3714.197,3231.870,5108.000,3683.000,3230.000,4165.527,3621.175,3232.740,4110.000,3607.000,3233.500
10,0,20210329_Oocyte1,4380.509,3593.363,3232.820,4211.000,3557.000,3235.000,4031.117,3615.289,3223.189,3952.889,3576.111,3223.222
