 ,,name,before_lateral_mean,before_posterior_mean,before_background_mean,before_lateral_median,before_posterior_median,before_background_median,after_lateral_mean,after_posterior_mean,after_background_mean,after_lateral_median,after_posterior_median,after_background_median
1,0,20220728_Exp4_position2,3512.329,3574.194,3189.176,3512.000,3572.000,3188,3454.997,3417.392,3206.035,3455,3410.500,3204.000
2,0,20220728_Exp6_position1,3789.813,3862.552,3219.641,3788.500,3851.000,3218,3465.320,3469.638,3251.014,3459,3466.000,3251.000
3,0,20220729_Exp2_position3,3519.050,3559.323,3189.593,3512.000,3561.000,3187,3479.215,3428.531,3168.350,3474,3425.000,3168.000
4,0,20220729_Exp5_position1,3575.666,3644.374,3206.961,3573.000,3637.500,3205,3479.610,3391.435,3233.017,3471,3377.500,3233.500
5,0,20220729_Exp7_position3,3588.553,3794.845,3186.428,3582.000,3788.000,3185,3490.431,3544.108,3175.363,3483,3542.500,3176.000
