 ,,name,before_lateral_mean,before_posterior_mean,before_background_mean,before_lateral_median,before_posterior_median,before_background_median,after_lateral_mean,after_posterior_mean,after_background_mean,after_lateral_median,after_posterior_median,after_background_median
1,0,20220727_Exp3_position1,3670.079,3650.106,3189.907,3667.000,3661.000,3189,3624.101,3454.537,3183.044,3623.000,3452.000,3184.000
2,0,20220727_Exp3_position2,3676.005,3675.817,3204.555,3683.000,3673.000,3206,3670.171,3569.896,3222.954,3663.000,3563.500,3222.000
3,0,20220727_Exp5_position1,3622.403,3634.096,3209.838,3622.000,3629.500,3211,3441.670,3465.864,3199.694,3440.000,3462.000,3201.500
4,0,20220727_Exp5_position3,3678.841,3656.050,3207.834,3678.000,3669.000,3206,3516.157,3398.479,3213.156,3519.000,3392.000,3213.000
5,0,20220727_Exp7_position1,3576.892,3612.139,3204.076,3576.000,3610.500,3204,3571.088,3379.141,3212.422,3579.000,3381.000,3213.000
6,0,20220727_Exp7_position3,3579.941,3591.017,3210.215,3569.000,3585.000,3212,3441.311,3354.995,3211.383,3435.000,3348.000,3211.000
7,0,20220728_Exp2_position1,3599.334,3630.511,3217.839,3591.500,3633.000,3218,3490.274,3403.318,3217.050,3483.000,3398.000,3214.000
8,0,20220728_Exp4_position1,3660.665,3722.496,3220.244,3661.000,3721.000,3220,3646.857,3463.980,3208.714,3659.000,3460.000,3211.000
9,0,20220728_Exp4_position3,3829.173,3895.170,3193.857,3863.000,3918.000,3194,3714.422,3522.950,3202.587,3708.500,3518.000,3205.000
10,0,20220728_Exp6_position2,3580.770,3604.656,3209.143,3585.000,3613.000,3208,3549.677,3451.017,3217.536,3549.000,3447.000,3217.000
11,0,20220729_Exp7_position1,3617.648,3525.577,3196.429,3623.000,3526.000,3195,3545.235,3382.557,3206.542,3536.000,3381.000,3207.000
