 ,,name,before_lateral_mean,before_posterior_mean,before_background_mean,before_lateral_median,before_posterior_median,before_background_median,after_lateral_mean,after_posterior_mean,after_background_mean,after_lateral_median,after_posterior_median,after_background_median
1,0,20190520_Oocyte2,4731.746,3579.584,3228.161,4582.000,3555.500,3227.000,4293.716,3693.081,3217.425,4176.500,3657.000,3213.000
2,0,20190617_Oocyte2,4580.318,3797.197,3216.867,4474.500,3746.000,3215.000,4043.888,3707.741,3221.463,3983.000,3649.000,3221.000
3,0,20190617_Oocyte6,3907.428,3423.680,3219.215,3854.000,3412.000,3222.000,3615.404,3452.583,3210.103,3559.000,3426.000,3211.000
4,0,20190711_Oocyte1,4097.317,3483.594,3208.987,4000.000,3466.000,3207.000,3647.773,3538.112,3219.384,3612.000,3488.000,3220.000
5,0,20190711_Oocyte4,7269.770,6216.625,5891.195,7224.000,6199.000,5893.000,6636.408,6317.832,5864.819,6523.000,6260.000,5860.000
6,0,20190902_Oocyte2,3859.496,3476.836,3218.827,3783.000,3460.000,3219.000,3707.561,3610.229,3219.869,3648.500,3581.000,3220.000
7,0,20190911_Oocyte1,3598.753,3394.150,3224.491,3557.000,3387.000,3221.000,3422.513,3410.848,3217.815,3407.000,3388.000,3217.000
8,0,20201030_Oocyte17,3667.623,3440.638,3215.338,3606.000,3431.000,3216.500,3903.650,3743.514,3234.588,3769.000,3699.000,3234.000
9,0,20201102_Oocyte1,4765.813,3572.878,3218.315,4637.000,3539.000,3216.000,3981.670,3776.049,3238.257,3925.000,3728.500,3237.000
10,0,20201102_Oocyte3,4184.292,3514.027,3211.926,4117.500,3486.000,3208.000,3891.413,3535.930,3227.598,3835.000,3512.000,3228.500
11,0,20201110_Oocyte1,5197.549,3774.894,3226.320,5033.000,3741.000,3226.000,4344.899,3732.629,3233.577,4204.000,3675.000,3234.000
12,0,20201116_Oocyte1,5306.558,3922.999,3232.573,5169.000,3865.000,3233.500,4547.341,3750.967,3235.195,4308.500,3703.000,3234.000
13,0,20201117_Oocyte1,6297.429,3723.457,3239.013,5997.000,3701.000,3237.000,4693.404,3782.332,3234.301,4425.000,3713.500,3229.000
