 ,,name,before_lateral_mean,before_posterior_mean,before_background_mean,before_lateral_median,before_posterior_median,before_background_median,after_lateral_mean,after_posterior_mean,after_background_mean,after_lateral_median,after_posterior_median,after_background_median
1,0,20210525_Oocyte4_position1,4684.588,4715.125,3215.459,4666.000,4697.000,3212.000,3856.691,3660.776,3233.638,3848.000,3647.000,3231
2,0,20210525_Oocyte4_position2,4011.757,4111.188,3224.146,4007.000,4097.000,3221.000,3735.434,3699.425,3232.253,3730.000,3688.000,3231
3,0,20210525_Oocyte4_position3,4400.632,4444.987,3207.301,4366.500,4444.000,3206.000,3893.166,3786.847,3233.918,3877.500,3778.000,3229
4,0,20210526_Oocyte1_position1,4858.839,5406.346,3222.482,4837.500,5394.500,3222.000,4225.459,3888.894,3248.637,4194.000,3879.000,3252
5,0,20210526_Oocyte1_position3,5018.462,5194.825,3225.646,5049.000,5156.000,3223.000,3774.543,3696.221,3227.646,3759.000,3680.000,3228
6,0,20210526_Oocyte1_position4,4513.150,4944.572,3220.650,4500.000,4952.000,3216.500,3894.292,3691.361,3252.041,3885.000,3679.500,3249
7,0,20210526_Oocyte4_position6,5108.807,5208.112,3232.442,5103.000,5202.000,3234.000,4391.518,4146.022,3253.857,4375.000,4134.000,3249
8,0,20210528_Exp4_position3,4456.305,4471.477,3255.107,4445.500,4465.500,3252.000,4072.316,4245.052,3237.201,4065.000,4209.000,3235
9,0,20210528_Exp4_position7,4508.836,4739.105,3240.283,4515.000,4717.500,3240.000,3929.599,3667.932,3250.694,3923.000,3652.000,3248
10,0,20210622_Exp3_position1,5097.235,5242.105,3203.569,5087.000,5251.000,3202.000,4159.281,4474.517,3238.322,4146.000,4460.000,3236
11,0,20210622_Exp3_position6,4776.668,4843.927,3220.586,4767.000,4826.000,3218.000,3962.588,4128.836,3233.355,3955.000,4116.500,3233
12,0,20210714_Exp1_position1,4503.237,4395.530,3208.967,4482.000,4380.500,3208.000,3919.813,3765.607,3215.647,3914.000,3750.000,3215
13,0,20210714_Exp3_position1,4567.949,4735.886,3208.776,4555.500,4726.000,3210.000,3840.889,3757.010,3224.804,3829.000,3741.000,3223
14,0,20210714_Exp3_position6,4721.307,4764.870,3214.567,4755.000,4753.500,3214.000,4119.934,3827.809,3225.762,4109.000,3822.000,3223
