 ,,name,before_lateral_mean,before_posterior_mean,before_background_mean,before_lateral_median,before_posterior_median,before_background_median,after_lateral_mean,after_posterior_mean,after_background_mean,after_lateral_median,after_posterior_median,after_background_median
1,0,20190531_Oocyte6,4185.177,4201.830,3212.299,4178.000,4187.000,3217,3788.719,3936.346,3212.295,3778.000,3925.000,3213.000
2,0,20190712_Oocyte6,3652.545,3687.956,3206.864,3645.500,3680.500,3202,3430.067,3445.887,3198.443,3425.000,3441.000,3200.000
3,0,20190712_Oocyte8,3621.608,3625.403,3209.302,3616.000,3608.000,3207,3529.570,3562.216,3198.851,3518.000,3553.000,3199.000
4,0,20201113_Oocyte1,4563.604,4540.076,3230.964,4544.500,4535.500,3232,3912.373,3918.487,3236.653,3898.000,3904.000,3232.000
5,0,20201113_Oocyte5,4299.400,4282.427,3223.287,4285.000,4280.000,3226,3735.100,3726.674,3234.280,3721.000,3712.500,3232.000
6,0,20201116_Oocyte3,4247.041,4497.325,3225.379,4246.000,4486.000,3225,3795.462,3878.698,3218.386,3787.000,3891.000,3217.000
7,0,20201117_Oocyte1,4026.030,4045.726,3212.521,4024.500,4028.000,3212,3620.004,3655.676,3218.293,3608.500,3645.000,3218.000
8,0,20201117_Oocyte7,3932.674,4047.161,3220.828,3923.000,4034.000,3220,3669.735,3652.327,3239.078,3656.000,3644.000,3240.500
9,0,20201130_Oocyte3,3985.208,4198.871,3227.719,3972.000,4200.000,3224,3557.128,3600.627,3234.514,3545.000,3596.000,3232.000
10,0,20201204_Oocyte1,4428.155,4411.051,3233.920,4418.000,4401.000,3230,3849.951,3982.573,3224.309,3841.000,3970.000,3220.000
11,0,20201204_Oocyte6,4352.589,4405.539,3231.406,4361.000,4402.000,3227,3681.990,3849.429,3225.200,3671.000,3840.000,3221.500
