 ,,name,before_lateral_mean,before_posterior_mean,before_background_mean,before_lateral_median,before_posterior_median,before_background_median,after_lateral_mean,after_posterior_mean,after_background_mean,after_lateral_median,after_posterior_median,after_background_median
1,0,20220727_Exp3_position1,3670.079,3650.106,3189.907,3667,3661,3189,3624.101,3454.537,3183.044,3623,3452,3184
2,0,20220727_Exp3_position2,3676.005,3675.817,3204.555,3683,3673,3206,3670.171,3569.896,3222.954,3663,3563.5,3222
3,0,20220727_Exp5_position1,3622.403,3634.096,3209.838,3622,3629.5,3211,3441.67,3465.864,3199.694,3440,3462,3201.5
4,0,20220727_Exp5_position3,3678.841,3656.05,3207.834,3678,3669,3206,3516.157,3398.479,3213.156,3519,3392,3213
5,0,20220727_Exp7_position1,3576.892,3612.139,3204.076,3576,3610.5,3204,3571.088,3379.141,3212.422,3579,3381,3213
6,0,20220727_Exp7_position3,3579.941,3591.017,3210.215,3569,3585,3212,3441.311,3354.995,3211.383,3435,3348,3211
7,0,20220728_Exp2_position1,3599.334,3630.511,3217.839,3591.5,3633,3218,3490.274,3403.318,3217.05,3483,3398,3214
8,0,20220728_Exp4_position1,3660.665,3722.496,3220.244,3661,3721,3220,3646.857,3463.98,3208.714,3659,3460,3211
9,0,20220728_Exp4_position3,3829.173,3895.17,3193.857,3863,3918,3194,3714.422,3522.95,3202.587,3708.5,3518,3205
10,0,20220728_Exp6_position2,3580.77,3604.656,3209.143,3585,3613,3208,3549.677,3451.017,3217.536,3549,3447,3217
11,0,20220729_Exp7_position1,3617.648,3525.577,3196.429,3623,3526,3195,3545.235,3382.557,3206.542,3536,3381,3207
10,0,20201203_Oocyte1,3887.035,3900.485,3224.667,3902,3890,3223,3788.08,3631.882,3233.028,3783,3621,3233
