 ,,name,before_lateral_mean,before_posterior_mean,before_background_mean,before_lateral_median,before_posterior_median,before_background_median,after_lateral_mean,after_posterior_mean,after_background_mean,after_lateral_median,after_posterior_median,after_background_median
1,0,20220727_Exp3_position1,3360.917,3293.785,3173.78,3353,3296,3173,3594.006,3380.796,3199.475,3585,3374,3200
2,0,20220727_Exp3_position2,3410.475,3290.65,3214.455,3405,3290,3214.5,3421.694,3363.403,3214.101,3416,3352,3213
3,0,20220727_Exp5_position1,3347.58,3239.619,3183.194,3341,3239,3183,3352.505,3307.628,3181.358,3340,3303,3183.5
4,0,20220727_Exp5_position3,3357.205,3284.496,3188.964,3349,3280,3188.5,3341.895,3317.08,3216.822,3331,3313,3215
5,0,20220727_Exp7_position1,3477.788,3387.314,3213.344,3466,3382,3214.5,3500.774,3394.59,3227.337,3499,3380,3227
6,0,20220727_Exp7_position3,3313.169,3254.154,3196.826,3304,3248,3200.5,3285.993,3291.711,3201.408,3277.5,3280,3203
7,0,20220728_Exp2_position1,3380.518,3278.239,3199.813,3367,3272,3201,3350.64,3410.119,3207.65,3348,3390,3207
8,0,20220728_Exp4_position1,3253.773,3251.498,3195.314,3256,3251,3195,3340.201,3312.313,3201.924,3338,3307,3203
9,0,20220728_Exp4_position3,3314.902,3310.289,3200.792,3307,3306,3202,3299.175,3344.291,3210.54,3296,3336,3209
10,0,20220728_Exp6_position2,3318.823,3274.36,3190.643,3311,3274,3191,3360.979,3322.268,3195.085,3356,3316,3195.5
11,0,20220729_Exp7_position1,3397.955,3280.979,3191.653,3389,3278,3193,3402.405,3436.21,3198.675,3399,3422,3200
1,0,20220728_Exp4_position2,3257.946,3234.043,3183.005,3255,3232.5,3182,3328.672,3352.647,3212.428,3325,3340,3211
2,0,20220728_Exp6_position1,3349.47,3299.157,3205.147,3346,3295,3204,3345.216,3400.449,3225.107,3338.5,3392,3224
3,0,20220729_Exp2_position3,3352.14,3240.711,3200.477,3341.5,3239.5,3202,3306.74,3351.195,3192.188,3301,3340,3192
4,0,20220729_Exp5_position1,3327.258,3254.31,3159.779,3321,3251,3160,3301.869,3308.093,3190.446,3294,3302,3187
5,0,20220729_Exp7_position3,3566.191,3292.297,3172.707,3547.5,3287,3172,3431.093,3390.496,3162.231,3425,3384,3159
