 ,Value
1,1217.481
2,1226.112
3,1239.767
4,1232.032
5,1199.505
6,1172.654
7,1135.810
8,1105.628
9,1107.885
10,1100.676
11,1131.469
12,1150.906
13,1151.793
14,1139.291
15,1142.649
16,1134.011
17,1125.368
18,1141.454
19,1152.771
20,1145.926
21,1162.695
22,1137.317
23,1145.841
24,1125.846
25,1117.939
26,1106.494
27,1094.367
28,1093.470
29,1096.176
30,1102.783
31,1094.797
32,1073.473
33,1081.306
34,1066.129
35,1061.021
36,1090.342
37,1119.387
38,1137.134
39,1151.567
40,1140.422
41,1094.322
42,1057.329
43,1017.396
44,971.860
45,922.409
46,856.479
47,810.150
48,790.552
49,800.547
50,824.183
51,852.486
52,895.793
53,935.592
54,977.741
55,1023.485
56,1071.813
57,1140.669
58,1177.884
59,1187.170
60,1183.371
61,1163.867
62,1115.823
63,1070.952
64,1021.758
65,1015.538
66,1017.769
67,1049.740
68,1073.794
69,1076.139
70,1059.090
71,1075.845
72,1096.267
73,1084.699
74,1091.389
75,1089.234
76,1054.047
77,1029.070
78,1032.740
79,1034.836
80,1026.544
81,1047.295
82,1074.830
83,1078.937
84,1092.371
85,1107.221
86,1125.696
87,1138.784
88,1164.404
89,1150.774
90,1103.827
91,1036.556
92,983.071
