 ,Value
1,15.163
2,15.574
3,16.261
4,16.914
5,17.419
6,17.844
7,18.049
8,17.843
9,17.501
10,17.501
11,18.027
12,18.926
13,19.910
14,20.929
15,22.265
16,24.096
17,26.174
18,28.089
19,29.505
20,30.388
21,30.879
22,31.164
23,31.434
24,31.848
25,32.634
26,34.068
27,36.319
28,39.461
29,43.523
30,48.104
31,52.244
32,55.097
33,56.729
34,57.833
35,59.260
36,61.599
37,64.486
38,66.423
39,65.644
40,61.652
41,55.468
42,48.466
43,41.908
44,36.435
45,32.248
46,29.198
47,27.035
48,25.848
49,25.873
50,27.041
51,29.134
52,31.687
53,33.971
54,35.212
55,35.504
56,35.642
57,36.159
58,36.840
59,36.998
60,36.411
61,35.155
62,33.298
63,31.222
64,29.598
65,28.773
66,28.965
67,30.101
68,31.499
69,32.241
70,31.837
71,30.479
72,28.550
73,26.278
74,23.987
75,22.025
76,20.355
77,18.907
78,17.858
79,17.443
80,17.808
81,18.824
82,20.155
83,21.392
84,22.313
85,23.100
86,23.976
87,24.963
88,25.962
89,26.848
90,27.391
91,27.500
92,27.239
