 ,Value
1,3.873
2,3.990
3,4.193
4,4.406
5,4.541
6,4.582
7,4.573
8,4.524
9,4.403
10,4.219
11,4.045
12,3.961
13,3.981
14,4.064
15,4.188
16,4.355
17,4.570
18,4.850
19,5.181
20,5.506
21,5.789
22,5.992
23,6.071
24,6.011
25,5.820
26,5.576
27,5.374
28,5.253
29,5.243
30,5.322
31,5.371
32,5.271
33,4.979
34,4.559
35,4.155
36,3.860
37,3.687
38,3.669
39,3.953
40,4.917
41,7.301
42,12.476
43,23.162
44,43.902
45,80.995
46,141.644
47,230.955
48,346.480
49,475.478
50,594.306
51,668.481
52,680.310
53,644.782
54,583.763
55,506.512
56,421.038
57,342.773
58,282.456
59,239.242
60,207.579
61,185.877
62,173.875
63,170.191
64,169.686
65,164.461
66,152.002
67,138.305
68,127.597
69,120.453
70,117.260
71,117.363
72,118.121
73,117.433
74,116.479
75,119.317
76,126.464
77,133.023
78,133.368
79,126.407
80,114.478
81,101.521
82,89.781
83,80.267
84,74.954
85,75.463
86,80.529
87,86.718
88,90.958
89,92.221
90,92.402
91,94.229
92,98.047
