 ,Value
1,3486.066
2,3523.773
3,3509.334
4,3490.175
5,3518.724
6,3475.509
7,3462.921
8,3490.247
9,3564.778
10,3555.145
11,3512.772
12,3427.628
13,3480.426
14,3481.700
15,3474.146
16,3511.995
17,3444.155
18,3525.840
19,3476.893
20,3432.875
21,3503.793
22,3443.096
23,3412.938
24,3401.258
25,3453.810
26,3449.219
27,3515.371
28,3460.219
29,3484.315
30,3474.411
31,3490.083
32,3492.183
33,3467.344
34,3489.891
35,3503.935
36,3496.772
37,3543.054
38,3569.595
39,3456.660
40,3528.522
41,3522.291
42,3468.772
43,3454.888
44,3475.950
45,3442.980
46,3541.700
47,3540.558
48,3501.064
49,3492.243
50,3541.512
51,3549.867
52,3536.826
53,3553.918
54,3541.732
55,3562.825
56,3599.617
57,3568.235
58,3592.710
59,3518.264
60,3563.201
61,3518.816
62,3476.809
63,3488.279
64,3495.394
65,3509.926
66,3519.754
67,3477.030
68,3495.910
69,3500.613
70,3542.344
71,3570.542
72,3630.465
73,3638.905
74,3594.178
75,3572.021
76,3627.033
77,3620.796
78,3610.367
79,3533.576
80,3467.807
81,3490.635
82,3599.781
83,3581.546
84,3616.408
85,3583.281
86,3623.323
87,3652.948
88,3571.138
89,3609.568
90,3549.848
91,3491.396
92,3563.295
93,3579.471
94,3591.530
95,3525.603
96,3599.335
97,3527.313
98,3541.265
99,3577.516
100,3517.580
101,3560.217
102,3510.964
103,3491.725
104,3524.767
105,3591.210
106,3617.478
107,3571.482
108,3465.516
109,3546.657
110,3453.167
111,3518.688
112,3526.549
113,3553.869
114,3494.254
115,3436.298
116,3478.606
117,3518.075
118,3546.430
119,3533.693
120,3547.940
121,3568.701
122,3522.149
123,3515.607
124,3552.355
125,3541.908
126,3488.896
127,3545.829
128,3542.055
129,3526.791
130,3535.746
131,3496.051
132,3522.528
133,3538.202
134,3490.060
135,3503.560
136,3448.792
137,3483.600
138,3483.073
139,3476.593
140,3436.615
141,3413.173
142,3449.694
143,3451.385
144,3460.494
145,3417.173
146,3463.761
147,3471.536
148,3480.472
149,3469.341
150,3461.614
151,3411.758
152,3382.696
